"","Year","Genus","Export.region","Exporter.reported.quantity","Purpose","Source"
"26",2010,"Leontopithecus","Asia",1,"Z","C"
"34",2010,"Saguinus","Asia",NA,"Z","C"
"36",2010,"Saguinus","Africa",20,"B","C"
"41",2010,"Macaca","Asia",1,"Q","C"
"46",2010,"Macaca","Asia",3,"Z","C"
"50",2010,"Mandrillus","Africa",NA,"Z","C"
"61",2010,"Rhinopithecus","Asia",NA,"S","C"
"62",2010,"Rhinopithecus","Asia",2,"Z","C"
"65",2010,"Rhinopithecus","Asia",NA,"S","C"
"66",2010,"Rhinopithecus","Asia",2,"Z","C"
"76",2010,"Cheirogaleus","Asia",NA,"Z","I"
"114",2010,"Gorilla","Africa",8,"S","W"
"116",2010,"Gorilla","Africa",NA,"Z","C"
"120",2010,"Gorilla","Asia",1,"Z","C"
"141",2010,"Pan","Asia",NA,"E","C"
"146",2010,"Pan","Africa",NA,"Z","C"
"158",2010,"Pan","Asia",NA,"Z","C"
"163",2010,"Pan","Asia",2,"Q","C"
"176",2010,"Pan","Africa",NA,"Q","C"
"178",2010,"Pan","Africa",3,"B",""
"179",2010,"Pan","Africa",NA,"E","W"
"193",2010,"Pongo","Asia",1,"Z","C"
"196",2010,"Pongo","Asia",NA,"Z","C"
"197",2010,"Pongo","Asia",1,"Z","C"
"198",2010,"Pongo","Asia",3,"Z","F"
"202",2010,"Pongo","Africa",NA,"Z","F"
"207",2010,"Pongo","Asia",1,"Q","C"
"208",2010,"Pongo","Asia",NA,"T","C"
"219",2010,"Bunopithecus","Asia",5,"B","C"
"220",2010,"Bunopithecus","Asia",5,"B","W"
"233",2010,"Nomascus","Asia",1,"Z","C"
"234",2010,"Nomascus","Asia",1,"Z","F"
"244",2010,"Symphalangus","Asia",1,"Z","C"
"276",2010,"Eulemur","Asia",2,"Z","C"
"296",2010,"Lemur","Asia",NA,"B","C"
"301",2010,"Lemur","America",4,"Z","C"
"312",2010,"Lemur","Asia",NA,"Z","C"
"322",2010,"Lemur","Asia",3,"Z","C"
"329",2010,"Lemur","Asia",2,"Z","C"
"330",2010,"Lemur","Asia",NA,"Z","C"
"333",2010,"Lemur","Africa",1,"Z","C"
"334",2010,"Lemur","Asia",14,"Z","C"
"341",2010,"Prolemur","Africa",1,"S","W"
"342",2010,"Prolemur","Africa",NA,"Z","F"
"344",2010,"Prolemur","Africa",1,"S","C"
"367",2010,"Varecia","Asia",2,"Z","C"
"378",2010,"Nycticebus","Asia",NA,"B","F"
"406",2010,"Alouatta","America",20,"T","W"
"407",2010,"Alouatta","America",NA,"Z","W"
"408",2010,"Alouatta","Africa",4,"Z","W"
"409",2010,"Alouatta","America",40,"T","W"
"410",2010,"Alouatta","America",NA,"Z","W"
"415",2010,"Ateles","America",20,"T","W"
"416",2010,"Ateles","America",NA,"Z","W"
"418",2010,"Ateles","America",40,"T","W"
"419",2010,"Ateles","America",NA,"Z","W"
"426",2010,"Callithrix","Asia",NA,"Z","C"
"428",2010,"Callithrix","Africa",4,"T","C"
"431",2010,"Callithrix","Asia",NA,"Z","C"
"432",2010,"Callithrix","America",8,"T","C"
"433",2010,"Callithrix","Africa",10,"T","C"
"435",2010,"Callithrix","Africa",8,"T","C"
"437",2010,"Callithrix","Africa",10,"T","C"
"440",2010,"Callithrix","Africa",6,"T","C"
"441",2010,"Callithrix","Africa",1,"P","C"
"468",2010,"Callithrix","Africa",58,"T","C"
"469",2010,"Callithrix","Africa",40,"T","C"
"470",2010,"Callithrix","Africa",8,"T","C"
"471",2010,"Callithrix","Africa",40,"T","C"
"473",2010,"Callithrix","America",8,"T","C"
"474",2010,"Callithrix","Africa",432,"T","C"
"475",2010,"Callithrix","Africa",50,"T","F"
"484",2010,"Callithrix","Africa",80,"B","C"
"487",2010,"Callithrix","Asia",2,"Z","C"
"488",2010,"Callithrix","Africa",6,"T","C"
"490",2010,"Callithrix","Africa",36,"T","C"
"491",2010,"Callithrix","Africa",20,"T","C"
"492",2010,"Callithrix","Africa",8,"T","C"
"493",2010,"Callithrix","Africa",2,"Z","C"
"494",2010,"Callithrix","Africa",20,"T","C"
"495",2010,"Callithrix","America",11,"T","C"
"496",2010,"Callithrix","Africa",224,"T","C"
"497",2010,"Callithrix","Africa",10,"T","F"
"518",2010,"Cebus","America",31,"T","W"
"519",2010,"Cebus","America",NA,"Z","W"
"520",2010,"Cebus","America",NA,"T","W"
"524",2010,"Cebus","America",10,"T","W"
"525",2010,"Cebus","America",50,"Z","W"
"529",2010,"Cebus","Africa",62,"T","C"
"530",2010,"Cebus","America",30,"T","W"
"533",2010,"Cebus","America",11,"T","W"
"534",2010,"Cebus","Asia",2,"Q","F"
"536",2010,"Cebus","America",12,"T","W"
"537",2010,"Cebus","America",NA,"T","W"
"544",2010,"Cebus","America",40,"T","W"
"545",2010,"Cebus","America",NA,"Z","W"
"546",2010,"Cebus","Africa",2,"T","W"
"549",2010,"Cebus","America",29,"T","W"
"550",2010,"Cebus","America",1,"Z","F"
"552",2010,"Leontopithecus","Asia",NA,"Z","C"
"554",2010,"Saguinus","Africa",10,"T","C"
"565",2010,"Saguinus","Africa",10,"T","C"
"566",2010,"Saguinus","Asia",NA,"B","W"
"568",2010,"Saguinus","America",40,"T","W"
"569",2010,"Saguinus","America",NA,"Z","W"
"570",2010,"Saguinus","Africa",5,"Z","C"
"573",2010,"Saguinus","America",3,"T","W"
"574",2010,"Saguinus","Africa",1,"Z","C"
"575",2010,"Saguinus","America",10,"T","W"
"576",2010,"Saguinus","America",40,"T","W"
"577",2010,"Saguinus","Africa",62,"T","C"
"578",2010,"Saguinus","America",4,"T","W"
"584",2010,"Saguinus","America",NA,"T","W"
"585",2010,"Saguinus","America",NA,"T","W"
"586",2010,"Saimiri","Asia",NA,"B","W"
"589",2010,"Saimiri","America",435,"T","W"
"590",2010,"Saimiri","America",NA,"Z","W"
"591",2010,"Saimiri","America",NA,"T","W"
"593",2010,"Saimiri","Africa",2,"T","W"
"594",2010,"Saimiri","Asia",NA,"Z","U"
"595",2010,"Saimiri","Africa",12,"Q","C"
"599",2010,"Saimiri","Asia",8,"Z","C"
"601",2010,"Saimiri","America",46,"T","W"
"604",2010,"Saimiri","America",70,"Z","W"
"605",2010,"Saimiri","Africa",30,"Z","W"
"606",2010,"Saimiri","Africa",10,"Z","W"
"607",2010,"Saimiri","America",9,"T","W"
"608",2010,"Saimiri","America",20,"T","W"
"609",2010,"Saimiri","America",295,"T","W"
"610",2010,"Saimiri","Asia",NA,"Z","C"
"611",2010,"Saimiri","America",NA,"T","W"
"616",2010,"Cercocebus","Africa",NA,"B","W"
"617",2010,"Cercocebus","Africa",1,"Z","W"
"619",2010,"","Africa",3,"T","W"
"626",2010,"Cercopithecus","Africa",5,"T","W"
"630",2010,"Cercopithecus","Africa",NA,"H","W"
"631",2010,"Cercopithecus","Africa",4,"Z","W"
"633",2010,"Cercopithecus","Africa",5,"T","W"
"637",2010,"Cercopithecus","Africa",1,"P","W"
"639",2010,"Cercopithecus","Africa",10,"T","W"
"640",2010,"Cercopithecus","Africa",5,"T","W"
"643",2010,"Cercopithecus","Africa",6,"T","W"
"644",2010,"Cercopithecus","Africa",6,"Z","W"
"645",2010,"Cercopithecus","Africa",NA,"T","W"
"646",2010,"Cercopithecus","Asia",10,"B","W"
"651",2010,"Cercopithecus","Africa",12,"T","W"
"652",2010,"Cercopithecus","Africa",20,"T","W"
"657",2010,"Cercopithecus","Africa",NA,"Z","W"
"658",2010,"Cercopithecus","Africa",10,"T","W"
"662",2010,"Cercopithecus","Africa",8,"T","W"
"664",2010,"Cercopithecus","Africa",2,"Z","C"
"665",2010,"Cercopithecus","Africa",5,"T","W"
"666",2010,"Cercopithecus","Africa",NA,"Z","W"
"676",2010,"Cercopithecus","Africa",8,"T","W"
"682",2010,"Chlorocebus","Africa",11,"T","W"
"683",2010,"Chlorocebus","Africa",6,"T","W"
"684",2010,"Chlorocebus","Africa",6,"Z","W"
"693",2010,"Chlorocebus","America",20,"M","C"
"721",2010,"Chlorocebus","Africa",NA,"Z","W"
"722",2010,"Chlorocebus","Africa",6,"T","W"
"734",2010,"Chlorocebus","America",60,"M","C"
"735",2010,"Chlorocebus","America",60,"M","W"
"766",2010,"Chlorocebus","Africa",80,"M","W"
"767",2010,"Chlorocebus","America",210,"M","C"
"772",2010,"Chlorocebus","Africa",3,"P",""
"796",2010,"Chlorocebus","Africa",12,"B","R"
"803",2010,"Chlorocebus","Africa",15,"T","W"
"807",2010,"Chlorocebus","Asia",20,"B","W"
"808",2010,"Chlorocebus","Africa",50,"T",""
"818",2010,"Chlorocebus","Africa",444,"T",""
"827",2010,"Chlorocebus","Asia",8,"P","F"
"830",2010,"Chlorocebus","America",NA,"M","W"
"835",2010,"Chlorocebus","America",70,"M","W"
"884",2010,"Chlorocebus","America",60,"T","W"
"972",2010,"Chlorocebus","Africa",NA,"M","W"
"980",2010,"Chlorocebus","Africa",NA,"T","W"
"992",2010,"Chlorocebus","Africa",2,"Z","C"
"994",2010,"Chlorocebus","Africa",200,"T","C"
"1018",2010,"Chlorocebus","America",NA,"M","W"
"1019",2010,"Chlorocebus","America",NA,"T","C"
"1020",2010,"Chlorocebus","America",42,"T","W"
"1027",2010,"Chlorocebus","America",28,"M","W"
"1028",2010,"Chlorocebus","America",152,"T","W"
"1046",2010,"Colobus","Africa",NA,"T","W"
"1047",2010,"Colobus","Africa",NA,"Z","W"
"1068",2010,"Erythrocebus","Africa",25,"T","W"
"1069",2010,"Erythrocebus","Africa",20,"T","W"
"1070",2010,"Erythrocebus","Asia",2,"Z","F"
"1071",2010,"Erythrocebus","Africa",2,"B","W"
"1073",2010,"Erythrocebus","Africa",2,"P","W"
"1078",2010,"Erythrocebus","Africa",40,"T",""
"1080",2010,"Erythrocebus","Africa",14,"E","W"
"1081",2010,"Erythrocebus","Africa",NA,"H","W"
"1085",2010,"Macaca","Asia",5,"Q","C"
"1128",2010,"Macaca","Asia",540,"T","C"
"1156",2010,"Macaca","Asia",1128,"T","C"
"1169",2010,"Macaca","Africa",102,"M","W"
"1320",2010,"Macaca","Asia",NA,"T","C"
"1321",2010,"Macaca","Asia",1000,"T","F"
"1335",2010,"Macaca","Asia",NA,"T","C"
"1354",2010,"Macaca","Asia",108,"S","C"
"1355",2010,"Macaca","Asia",648,"T","C"
"1359",2010,"Macaca","Africa",NA,"M","F"
"1360",2010,"Macaca","Africa",62,"M","W"
"1396",2010,"Macaca","Africa",1578,"M","F"
"1411",2010,"Macaca","Asia",NA,"M","C"
"1412",2010,"Macaca","Asia",149,"T","C"
"1417",2010,"Macaca","Africa",1460,"M","F"
"1418",2010,"Macaca","Africa",149,"M","W"
"1423",2010,"Macaca","Asia",190,"M","C"
"1446",2010,"Macaca","Asia",NA,"M","C"
"1447",2010,"Macaca","Asia",676,"T","C"
"1466",2010,"Macaca","Asia",NA,"M","C"
"1468",2010,"Macaca","Africa",26,"M","C"
"1469",2010,"Macaca","Africa",1115,"M","F"
"1470",2010,"Macaca","Africa",7,"M","W"
"1503",2010,"Macaca","Asia",NA,"M","C"
"1504",2010,"Macaca","Asia",268,"T","C"
"1540",2010,"Macaca","Asia",416,"T","C"
"1551",2010,"Macaca","Asia",2689,"T","C"
"1577",2010,"Macaca","Asia",184,"T","C"
"1578",2010,"Macaca","Asia",NA,"T","F"
"1581",2010,"Macaca","Asia",415,"T","F"
"1584",2010,"Macaca","Asia",1179,"M","C"
"1614",2010,"Macaca","Asia",1269,"T","C"
"1616",2010,"Macaca","Asia",2,"Z","C"
"1619",2010,"Macaca","Asia",NA,"M","C"
"1620",2010,"Macaca","Asia",781,"T","C"
"1647",2010,"Macaca","Asia",2,"T","C"
"1652",2010,"Macaca","Africa",109,"M","F"
"1653",2010,"Macaca","Africa",NA,"S","F"
"1660",2010,"Macaca","Asia",NA,"M","C"
"1661",2010,"Macaca","Asia",216,"T","C"
"1694",2010,"Macaca","Asia",150,"T","C"
"1706",2010,"Macaca","Asia",NA,"S","F"
"1707",2010,"Macaca","Asia",846,"T","C"
"1711",2010,"Macaca","Africa",2,"M","F"
"1712",2010,"Macaca","Africa",42,"M","W"
"1713",2010,"Macaca","Africa",NA,"S","F"
"1714",2010,"Macaca","Africa",NA,"S","W"
"1745",2010,"Macaca","Asia",900,"T","C"
"1795",2010,"Macaca","Asia",NA,"T","C"
"1796",2010,"Macaca","Asia",NA,"M","C"
"1797",2010,"Macaca","Asia",14581,"T","C"
"1798",2010,"Macaca","Asia",NA,"T","F"
"1799",2010,"Macaca","Asia",NA,"T","W"
"1886",2010,"Macaca","Asia",NA,"S","F"
"1887",2010,"Macaca","Asia",557,"T","C"
"1888",2010,"Macaca","Asia",NA,"T","F"
"1894",2010,"Macaca","Asia",240,"S","F"
"1907",2010,"Macaca","Asia",1680,"T","F"
"1915",2010,"Macaca","Africa",2351,"M","F"
"1916",2010,"Macaca","Africa",60,"M","W"
"1917",2010,"Macaca","Africa",NA,"T","F"
"1918",2010,"Macaca","Africa",NA,"T","W"
"1930",2010,"Macaca","Asia",125,"M","C"
"1958",2010,"Macaca","Asia",NA,"M","C"
"1959",2010,"Macaca","Asia",2580,"T","C"
"1968",2010,"Macaca","Asia",NA,"T","C"
"1970",2010,"Macaca","Asia",170,"T","C"
"1979",2010,"Macaca","Asia",2,"Q","U"
"1982",2010,"Macaca","Asia",1,"Q","U"
"1995",2010,"Macaca","Asia",1,"Q","U"
"2009",2010,"Macaca","Asia",120,"T","C"
"2038",2010,"Macaca","Asia",216,"T","C"
"2049",2010,"Macaca","Asia",6,"Z","F"
"2059",2010,"Macaca","Asia",16,"T","C"
"2092",2010,"Macaca","Asia",5,"T","C"
"2094",2010,"Macaca","Asia",38,"T","C"
"2107",2010,"Macaca","Asia",NA,"M","C"
"2108",2010,"Macaca","Asia",31,"T","C"
"2113",2010,"Macaca","Asia",3,"Q","U"
"2119",2010,"Macaca","Asia",NA,"M","C"
"2128",2010,"Macaca","Asia",1,"Q","U"
"2135",2010,"Macaca","Asia",3,"Q","U"
"2167",2010,"Macaca","Asia",NA,"M","C"
"2168",2010,"Macaca","Asia",1423,"T","C"
"2169",2010,"Macaca","Asia",NA,"T","F"
"2190",2010,"Macaca","Asia",4,"Q","U"
"2191",2010,"Macaca","Asia",112,"T","C"
"2193",2010,"Macaca","Asia",1,"Q","U"
"2197",2010,"Macaca","Asia",600,"T","C"
"2198",2010,"Macaca","Asia",3,"Z","F"
"2204",2010,"Macaca","Asia",2,"T","C"
"2209",2010,"Macaca","Asia",1,"Q","U"
"2216",2010,"Macaca","Asia",NA,"S","C"
"2217",2010,"Macaca","Asia",45,"T","C"
"2219",2010,"Macaca","Asia",NA,"T","C"
"2223",2010,"Macaca","Asia",10,"Z","C"
"2224",2010,"Macaca","Asia",NA,"Z","F"
"2232",2010,"Macaca","Asia",NA,"Z","C"
"2235",2010,"Macaca","Asia",2,"Z","C"
"2236",2010,"Macaca","Asia",1,"Z","C"
"2238",2010,"Macaca","Asia",6,"Z","F"
"2239",2010,"Macaca","Asia",1,"Z","C"
"2242",2010,"Macaca","Asia",4,"Z","C"
"2284",2010,"Papio","Africa",1,"B","C"
"2450",2010,"Papio","Asia",NA,"P","C"
"2468",2010,"Papio","Asia",7,"Q","C"
"2670",2010,"Papio","Africa",0.1,"T","C"
"2704",2010,"Papio","Africa",8,"Z","W"
"2715",2010,"Papio","Africa",2,"Z","C"
"2816",2010,"Trachypithecus","Asia",NA,"Q","C"
"2817",2010,"Trachypithecus","Asia",2,"Z","C"
"2823",2010,"Galago","Africa",20,"T","W"
"2825",2010,"Galago","Africa",NA,"T","C"
"2834",2010,"Otolemur","Africa",NA,"Z","C"
"2838",2010,"Perodicticus","Africa",6,"T","W"
"2840",2010,"Chiropotes","America",20,"T","W"
"2841",2010,"Chiropotes","America",NA,"Z","W"
"2842",2010,"Chiropotes","America",12,"T","W"
"2843",2010,"Chiropotes","America",NA,"Z","W"
"2849",2010,"Chiropotes","America",38,"T","W"
"2850",2010,"Chiropotes","America",NA,"Z","W"
"2851",2010,"Chiropotes","Africa",NA,"Z","W"
"2861",2010,"Tarsius","Asia",2,"Z","C"
"2899",2011,"Saguinus","Asia",1,"Z","C"
"2909",2011,"Saguinus","Africa",NA,"B","C"
"2927",2011,"Mandrillus","Asia",5,"Z","C"
"2983",2011,"Gorilla","Africa",6,"S","W"
"3006",2011,"Pan","Asia",NA,"E","W"
"3007",2011,"Pan","Asia",NA,"E","C"
"3010",2011,"Pan","America",1,"Z","C"
"3011",2011,"Pan","Africa",NA,"S","W"
"3012",2011,"Pan","Africa",NA,"Z","C"
"3014",2011,"Pan","Africa",1,"S","W"
"3015",2011,"Pan","Africa",NA,"Z","W"
"3016",2011,"Pan","Asia",4,"Z","C"
"3033",2011,"Pan","Asia",NA,"Z","I"
"3035",2011,"Pan","Asia",2,"Z","C"
"3040",2011,"Pan","Africa",NA,"B","C"
"3042",2011,"Pan","Asia",1,"Z","C"
"3043",2011,"Pan","Africa",3,"P","W"
"3044",2011,"Pan","Africa",NA,"L","W"
"3084",2011,"Pongo","Asia",1,"Q","C"
"3091",2011,"Bunopithecus","Asia",NA,"B","W"
"3095",2011,"Hylobates","Asia",NA,"E","C"
"3096",2011,"Hylobates","Asia",NA,"E","I"
"3115",2011,"Hylobates","Asia",1,"Z","C"
"3116",2011,"Hylobates","Asia",7,"Z","W"
"3125",2011,"Symphalangus","Asia",1,"Z","C"
"3126",2011,"Symphalangus","Asia",1,"Z","C"
"3152",2011,"Eulemur","Asia",1,"Z","U"
"3158",2011,"Lemur","Asia",6,"Z","C"
"3180",2011,"Lemur","Asia",2,"B","C"
"3186",2011,"Lemur","Africa",1,"Z","C"
"3194",2011,"Lemur","Africa",3,"Z","C"
"3204",2011,"Varecia","America",2,"Z","C"
"3207",2011,"Varecia","Africa",NA,"Z","C"
"3217",2011,"Varecia","Asia",4,"Z","F"
"3237",2011,"Nycticebus","Asia",NA,"Z","I"
"3244",2011,"Nycticebus","Asia",NA,"Z","F"
"3255",2011,"Aotus","America",4,"Z","F"
"3260",2011,"Aotus","America",6,"Z","F"
"3263",2011,"Alouatta","America",NA,"T","C"
"3264",2011,"Alouatta","America",6,"T","W"
"3270",2011,"Alouatta","Africa",NA,"Z","W"
"3276",2011,"Ateles","America",NA,"",""
"3288",2011,"Ateles","America",8,"S","C"
"3290",2011,"Ateles","America",6,"T","C"
"3292",2011,"Ateles","Africa",NA,"Z","C"
"3311",2011,"Callithrix","Asia",3,"T","C"
"3312",2011,"Callithrix","Africa",10,"B","C"
"3313",2011,"Callithrix","Africa",4,"T","C"
"3314",2011,"Callithrix","America",6,"T","C"
"3317",2011,"Callithrix","Africa",20,"B","C"
"3320",2011,"Callithrix","Africa",60,"Z","C"
"3322",2011,"Callithrix","Africa",2,"B","C"
"3323",2011,"Callithrix","Africa",20,"T","C"
"3337",2011,"Callithrix","Africa",190,"B","C"
"3348",2011,"Callithrix","Africa",20,"T","C"
"3349",2011,"Callithrix","Africa",10,"T","C"
"3358",2011,"Callithrix","Africa",10,"P","C"
"3359",2011,"Callithrix","Africa",87,"T","C"
"3360",2011,"Callithrix","Africa",20,"T","C"
"3361",2011,"Callithrix","Africa",70,"T","C"
"3362",2011,"Callithrix","America",2,"T","C"
"3363",2011,"Callithrix","Africa",NA,"B","F"
"3364",2011,"Callithrix","Africa",160,"T","C"
"3372",2011,"Callithrix","Africa",160,"T","F"
"3375",2011,"Callithrix","Africa",20,"B","C"
"3376",2011,"Callithrix","Africa",30,"Z","C"
"3377",2011,"Callithrix","Africa",10,"T","C"
"3378",2011,"Callithrix","Africa",10,"T","C"
"3379",2011,"Callithrix","Africa",66,"T","C"
"3380",2011,"Callithrix","Africa",20,"T","C"
"3381",2011,"Callithrix","Africa",20,"T","C"
"3382",2011,"Callithrix","Africa",2,"Z","C"
"3383",2011,"Callithrix","Africa",20,"B","C"
"3384",2011,"Callithrix","Africa",NA,"B","F"
"3385",2011,"Callithrix","Africa",52,"T","C"
"3386",2011,"Callithrix","America",NA,"E","C"
"3387",2011,"Callithrix","America",6,"T","C"
"3399",2011,"Callithrix","Africa",20,"B","C"
"3402",2011,"Callithrix","America",NA,"T","W"
"3409",2011,"Cebus","America",24,"T","W"
"3410",2011,"Cebus","America",NA,"Z","W"
"3413",2011,"Cebus","America",7,"B","W"
"3417",2011,"Cebus","Africa",6,"T","C"
"3418",2011,"Cebus","Africa",10,"B","C"
"3420",2011,"Cebus","Asia",1,"T","W"
"3421",2011,"Cebus","Asia",1,"T","C"
"3424",2011,"Cebus","America",NA,"B","W"
"3425",2011,"Cebus","America",35,"T","W"
"3426",2011,"Cebus","America",28,"Z","W"
"3427",2011,"Cebus","Asia",6,"Z","C"
"3428",2011,"Cebus","Africa",36,"Z","C"
"3436",2011,"Cebus","America",NA,"T","W"
"3437",2011,"Cebus","America",5,"T","W"
"3438",2011,"Cebus","America",NA,"T","W"
"3439",2011,"Cebus","America",12,"Z","W"
"3441",2011,"Cebus","America",1,"Z","F"
"3443",2011,"Saguinus","Africa",10,"B","C"
"3448",2011,"Saguinus","Africa",8,"T","C"
"3455",2011,"Saguinus","Africa",20,"B","C"
"3463",2011,"Saguinus","Africa",40,"Z","C"
"3465",2011,"Saguinus","America",5,"B","W"
"3468",2011,"Saguinus","America",NA,"T","W"
"3469",2011,"Saguinus","Africa",1,"Z","C"
"3470",2011,"Saguinus","Africa",10,"B","C"
"3471",2011,"Saguinus","America",7,"T","W"
"3473",2011,"Saguinus","America",NA,"T","W"
"3474",2011,"Saguinus","America",2,"Z","W"
"3475",2011,"Saguinus","America",10,"Z","F"
"3476",2011,"Saguinus","Africa",10,"B","C"
"3477",2011,"Saguinus","Africa",52,"B","C"
"3487",2011,"Saimiri","Africa",50,"Z","C"
"3488",2011,"Saimiri","Africa",12,"T","C"
"3491",2011,"Saimiri","America",96,"T","W"
"3492",2011,"Saimiri","America",NA,"Z","W"
"3496",2011,"Saimiri","America",7,"B","W"
"3497",2011,"Saimiri","America",NA,"Z","W"
"3498",2011,"Saimiri","Africa",2,"Z","C"
"3500",2011,"Saimiri","Africa",12,"Q","C"
"3501",2011,"Saimiri","Africa",12,"Z","C"
"3502",2011,"Saimiri","America",NA,"T","W"
"3505",2011,"Saimiri","Africa",20,"B","C"
"3507",2011,"Saimiri","America",162,"T","W"
"3511",2011,"Saimiri","Africa",NA,"Z","C"
"3512",2011,"Saimiri","Africa",6,"Z","C"
"3513",2011,"Saimiri","America",NA,"B","W"
"3514",2011,"Saimiri","America",NA,"T","W"
"3515",2011,"Saimiri","America",50,"Z","W"
"3516",2011,"Saimiri","Asia",NA,"Z","C"
"3517",2011,"Saimiri","America",NA,"T","W"
"3518",2011,"Allenopithecus","Africa",4,"Z","W"
"3523",2011,"Cercocebus","Africa",1,"B","C"
"3524",2011,"Cercocebus","Africa",1,"T","C"
"3541",2011,"Cercopithecus","Africa",10,"T","W"
"3543",2011,"Cercopithecus","Asia",6,"B","W"
"3544",2011,"Cercopithecus","Africa",NA,"Z","W"
"3548",2011,"Cercopithecus","Africa",10,"T","W"
"3549",2011,"Cercopithecus","Africa",NA,"Z","W"
"3553",2011,"Cercopithecus","Africa",10,"T","W"
"3554",2011,"Cercopithecus","Africa",NA,"T","W"
"3555",2011,"Cercopithecus","Asia",9,"B","W"
"3556",2011,"Cercopithecus","Asia",10,"B","W"
"3561",2011,"Cercopithecus","Africa",10,"T","W"
"3562",2011,"Cercopithecus","Africa",NA,"Z","W"
"3565",2011,"Cercopithecus","Asia",1,"B","O"
"3570",2011,"Cercopithecus","Africa",2,"Z","C"
"3571",2011,"Cercopithecus","Africa",2,"Z","C"
"3572",2011,"Cercopithecus","Africa",NA,"Z","W"
"3585",2011,"Chlorocebus","Africa",44,"T","W"
"3608",2011,"Chlorocebus","Africa",NA,"T","W"
"3625",2011,"Chlorocebus","Africa",6,"T","W"
"3626",2011,"Chlorocebus","Africa",10,"T","W"
"3630",2011,"Chlorocebus","America",NA,"M","C"
"3681",2011,"Chlorocebus","Asia",NA,"Z","C"
"3704",2011,"Chlorocebus","Africa",814,"T","W"
"3715",2011,"Chlorocebus","Asia",5,"P","C"
"3716",2011,"Chlorocebus","Asia",11,"T","C"
"3717",2011,"Chlorocebus","Asia",5,"T","R"
"3718",2011,"Chlorocebus","Asia",7,"T","C"
"3775",2011,"Chlorocebus","Africa",NA,"T","W"
"3819",2011,"Chlorocebus","Africa",NA,"T","W"
"3829",2011,"Chlorocebus","Asia",7,"B","W"
"3830",2011,"Chlorocebus","Africa",65,"T","W"
"3873",2011,"Chlorocebus","America",30,"M","C"
"3877",2011,"Chlorocebus","America",40,"M","C"
"3887",2011,"Chlorocebus","America",84,"M","W"
"3904",2011,"Chlorocebus","America",350,"T","W"
"3933",2011,"Erythrocebus","Africa",16,"T","W"
"3935",2011,"Erythrocebus","Africa",70,"T","W"
"3938",2011,"Erythrocebus","Africa",400,"T","W"
"3939",2011,"Erythrocebus","Africa",NA,"P","W"
"3942",2011,"Erythrocebus","Africa",70,"T","W"
"3943",2011,"Erythrocebus","Asia",11,"B","W"
"3946",2011,"Erythrocebus","Africa",10,"T","W"
"3947",2011,"Erythrocebus","Asia",2,"T","C"
"3948",2011,"Erythrocebus","Asia",1,"T","R"
"3950",2011,"Erythrocebus","Africa",NA,"Z","W"
"3951",2011,"Lophocebus","Africa",10,"T","W"
"3954",2011,"Lophocebus","Africa",NA,"Z","C"
"3955",2011,"Lophocebus","Africa",10,"T","W"
"3967",2011,"Macaca","Asia",3,"Q","C"
"4011",2011,"Macaca","Asia",216,"S","C"
"4044",2011,"Macaca","Asia",654,"T","C"
"4045",2011,"Macaca","Asia",100,"T",""
"4202",2011,"Macaca","Asia",6000,"T","C"
"4203",2011,"Macaca","Asia",NA,"T","F"
"4236",2011,"Macaca","Asia",432,"T","C"
"4280",2011,"Macaca","Africa",1109,"M","F"
"4300",2011,"Macaca","Asia",204,"T","C"
"4307",2011,"Macaca","Asia",28,"S","F"
"4310",2011,"Macaca","Africa",432,"M","F"
"4311",2011,"Macaca","Africa",32,"M","W"
"4313",2011,"Macaca","Asia",327,"M","C"
"4314",2011,"Macaca","Asia",44,"S","C"
"4348",2011,"Macaca","Asia",NA,"M","C"
"4349",2011,"Macaca","Asia",420,"T","C"
"4360",2011,"Macaca","Asia",NA,"M","C"
"4369",2011,"Macaca","Africa",156,"M","C"
"4370",2011,"Macaca","Africa",821,"M","F"
"4393",2011,"Macaca","Asia",NA,"M","C"
"4394",2011,"Macaca","Asia",400,"T","C"
"4452",2011,"Macaca","Asia",208,"T","C"
"4464",2011,"Macaca","Asia",104,"S","C"
"4465",2011,"Macaca","Asia",2288,"T","C"
"4480",2011,"Macaca","Asia",556,"T","F"
"4482",2011,"Macaca","Asia",1012,"T","F"
"4487",2011,"Macaca","Asia",1101,"M","C"
"4519",2011,"Macaca","Asia",479,"T","C"
"4521",2011,"Macaca","Asia",NA,"M","C"
"4522",2011,"Macaca","Asia",112,"T","C"
"4523",2011,"Macaca","Asia",3,"T",""
"4537",2011,"Macaca","Asia",NA,"M","C"
"4538",2011,"Macaca","Asia",293,"T","C"
"4551",2011,"Macaca","Africa",200,"M","F"
"4552",2011,"Macaca","Africa",NA,"S","F"
"4569",2011,"Macaca","Asia",NA,"M","C"
"4570",2011,"Macaca","Asia",108,"T","C"
"4571",2011,"Macaca","Asia",1,"B","O"
"4633",2011,"Macaca","Asia",NA,"S","F"
"4634",2011,"Macaca","Asia",408,"T","F"
"4639",2011,"Macaca","Africa",30,"M","W"
"4640",2011,"Macaca","Africa",NA,"S","W"
"4646",2011,"Macaca","Asia",NA,"S","C"
"4647",2011,"Macaca","Asia",90,"T","C"
"4740",2011,"Macaca","Asia",NA,"M","C"
