Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2020,II,Saguinus midas,Mammalia,Primates,Cebidae,Saguinus,ID,SR,,4,,live,,T,W
2020,II,Saguinus midas,Mammalia,Primates,Cebidae,Saguinus,MA,GY,,10,,live,,T,W
2020,II,Saguinus midas,Mammalia,Primates,Cebidae,Saguinus,MA,GY,,,10,live,,Z,W
2020,II,Saguinus midas,Mammalia,Primates,Cebidae,Saguinus,MY,ZA,,,2,live,,T,C
2020,II,Saguinus midas,Mammalia,Primates,Cebidae,Saguinus,PA,SR,,10,,live,,Z,W
2020,II,Saguinus midas,Mammalia,Primates,Cebidae,Saguinus,PH,ZA,,2,2,live,,Z,C
2020,II,Saguinus midas,Mammalia,Primates,Cebidae,Saguinus,PK,ZA,,,12,live,,T,C
2020,II,Saguinus midas,Mammalia,Primates,Cebidae,Saguinus,US,GY,,6,,live,Number of specimens,T,W
2020,II,Saguinus midas,Mammalia,Primates,Cebidae,Saguinus,US,GY,,,6,live,,T,W
2020,II,Saguinus mystax,Mammalia,Primates,Cebidae,Saguinus,TH,CZ,SK,1,1,live,,T,C
2020,II,Saimiri boliviensis,Mammalia,Primates,Cebidae,Saimiri,FR,CH,,1,,live,Number of specimens,Z,C
2020,II,Saimiri boliviensis,Mammalia,Primates,Cebidae,Saimiri,US,PE,,22,,specimens,Number of specimens,S,W
2020,II,Saimiri boliviensis,Mammalia,Primates,Cebidae,Saimiri,ZA,DE,,,3,live,,Z,C
2020,II,Saimiri sciureus,Mammalia,Primates,Cebidae,Saimiri,CA,ZA,,,1,skulls,,T,C
2020,II,Saimiri sciureus,Mammalia,Primates,Cebidae,Saimiri,DE,PE,,9,,specimens,,S,W
2020,II,Saimiri sciureus,Mammalia,Primates,Cebidae,Saimiri,ES,PE,,22,,specimens,,S,W
2020,II,Saimiri sciureus,Mammalia,Primates,Cebidae,Saimiri,GB,SR,,25,,live,Number of specimens,B,W
2020,II,Saimiri sciureus,Mammalia,Primates,Cebidae,Saimiri,ID,JP,,,5,live,Number of specimens,Z,C
